permutation,diagonal_dominance,matching_margin
290,0.20588235294117646,-959.7663978127872
291,0.21568627450980393,-974.1733117571064
292,0.14705882352941177,-1044.7330560590706
293,0.23039215686274508,-765.0905914213143
294,0.2107843137254902,-958.345266903148
295,0.21568627450980393,-982.4176311679915
296,0.19117647058823528,-1058.6529838805104
297,0.22549019607843138,-951.1250765931372
298,0.20098039215686275,-915.0409061020496
299,0.19117647058823528,-882.1219546467651
300,0.25980392156862747,-914.1320285610124
301,0.23039215686274508,-938.4990424361883
302,0.23039215686274508,-961.5294961368336
303,0.19607843137254902,-956.9372411241718
304,0.19117647058823528,-897.0466067837734
305,0.24509803921568626,-821.5472694284775
306,0.20098039215686275,-1091.6672160017724
307,0.2549019607843137,-992.6889719308591
308,0.17647058823529413,-917.302831472135
309,0.18137254901960784,-988.8280204137167
310,0.20588235294117646,-980.7859637503531
311,0.19607843137254902,-984.2774083380606
312,0.20588235294117646,-898.9966642342362
313,0.2107843137254902,-988.1399655622595
314,0.21568627450980393,-1015.0227849623736
315,0.21568627450980393,-853.5188088230058
316,0.27450980392156865,-815.0981650071985
317,0.23529411764705882,-851.8436606538062
318,0.22549019607843138,-965.4048647039077
319,0.18627450980392157,-1035.5692113427556
320,0.25980392156862747,-824.0088483773026
321,0.25,-828.3374923163769
322,0.23529411764705882,-852.9653896817974
323,0.17647058823529413,-958.5727048761704
324,0.23529411764705882,-951.8538464003918
325,0.22058823529411764,-936.4936588885737
326,0.24019607843137256,-1090.3511118795357
327,0.2107843137254902,-1038.986364701215
328,0.22058823529411764,-1042.6258847479726
329,0.25,-957.0817160699881
330,0.23039215686274508,-886.4708790124631
331,0.22549019607843138,-1029.3705894058826
332,0.19607843137254902,-1062.5368378957112
333,0.21568627450980393,-917.0870125059988
334,0.25980392156862747,-882.6902664408964
335,0.22058823529411764,-983.4835068010816
336,0.20098039215686275,-1016.736618640376
337,0.1568627450980392,-1101.4477760464538
338,0.23529411764705882,-752.7488357506546
339,0.24019607843137256,-884.6218301361682
340,0.20588235294117646,-1067.8787530263264
341,0.20098039215686275,-1058.9940176197126
342,0.20588235294117646,-984.5558411934796
343,0.17647058823529413,-1097.2485940222646
344,0.2107843137254902,-979.249150650174
345,0.19607843137254902,-1053.1290662989898
346,0.24019607843137256,-947.9958021126541
347,0.24509803921568626,-847.2167574003631
348,0.1568627450980392,-1168.3208521113677
349,0.2549019607843137,-951.8883799758612
350,0.18627450980392157,-963.4601610782099
351,0.2549019607843137,-941.4447998533062
352,0.25,-840.3557578629138
353,0.21568627450980393,-1081.7582869062237
354,0.23039215686274508,-765.2126467742172
355,0.22058823529411764,-764.7364595918094
356,0.24509803921568626,-869.8203350609424
357,0.18137254901960784,-1045.544719621247
358,0.23529411764705882,-1006.233988238316
359,0.21568627450980393,-952.8360156077964
360,0.22549019607843138,-758.9166587006812
361,0.2549019607843137,-879.0771734200272
362,0.24509803921568626,-799.2998480609818
363,0.21568627450980393,-916.4296880983838
364,0.20098039215686275,-1083.4655986486696
365,0.25980392156862747,-832.3219576816933
366,0.24509803921568626,-895.9898925388561
367,0.23529411764705882,-958.8566226024253
368,0.23039215686274508,-873.521658448612
369,0.20588235294117646,-1040.7469747954724
370,0.18627450980392157,-1128.1376024321014
371,0.19117647058823528,-1093.5687692773108
372,0.22549019607843138,-917.8257348864686
373,0.28921568627450983,-844.0508343752692
374,0.2107843137254902,-1012.9423229367126
375,0.22549019607843138,-990.0664558410645
376,0.1715686274509804,-1148.9711736791273
377,0.21568627450980393,-954.0663934221454
378,0.18627450980392157,-1090.6381708032945
379,0.22549019607843138,-853.4954956466077
380,0.18627450980392157,-1021.6190407509897
381,0.2107843137254902,-872.4903558656281
382,0.20588235294117646,-973.45099252813
383,0.22549019607843138,-875.1644966649075
384,0.23529411764705882,-922.2286420522952
385,0.19607843137254902,-1023.3199139763327
386,0.17647058823529413,-1013.2721825019986
387,0.24509803921568626,-970.1487797568826
388,0.24019607843137256,-864.6247873212777
389,0.2549019607843137,-804.0697514216105
390,0.24019607843137256,-911.2227385464837
